简历编号,姓名,性别,年龄,电话,邮箱,意向岗位,学历层次,院校类别,专业类别,英语水平,编程语言,编程语言熟练度,前端技术,前端技术熟练度,后端技术,后端技术熟练度,数据库,数据库熟练度,云计算/运维,云计算/运维熟练度,数据与算法,数据与算法熟练度,移动开发,移动开发熟练度,测试工具,测试工具熟练度,小型企业工作经验,中型企业工作经验,大型企业工作经验,小规模项目,中规模项目,大规模项目,筛选结果
68,江莉,女,23,15585977790,yanlu@163.com,测试工程师,本科,普通高校,非计算机类,无,"Python,Java,JavaScript,Go","熟练,掌握,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,精通",1―3年,NULL,NULL,1,0,0,不通过
69,曹秀英,女,23,15372742209,xialuo@qq.com,前端开发工程师,本科,普通高校,非计算机类,英语六级,"Python,Java,JavaScript","精通,熟练,熟练","HTML/CSS,React/Vue,Redux/Vuex","熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,8,0,0,通过
70,尹丽华,女,22,18381558393,najin6613@qq.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","熟练,精通,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","精通,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","精通,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
71,李红,女,22,13386403553,leilai8@gmail.com,移动开发工程师,专科,普通高校,计算机类,英语四级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","熟练,了解,熟练",NULL,NULL,1―3年,NULL,NULL,15,0,0,不通过
72,刘艳,女,22,18962706614,yanwu8282@163.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript","掌握,熟练","HTML/CSS,React/Vue,Webpack","熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
73,李建国,男,22,13264488694,jingcheng119@yahoo.com,前端开发工程师,专科,普通高校,计算机类,英语六级,"Python,Java,JavaScript","掌握,熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","精通,熟练,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,通过
74,沈华,男,22,13513806984,xiapan759@126.com,运维工程师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","熟练,掌握,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible","精通,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
75,翁文,男,23,15021160256,guiyingchang34@hotmail.com,算法工程师,本科,普通高校,非计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","了解,精通,掌握,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,掌握,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,不通过
76,罗宁,男,22,18973746052,juanli3@hotmail.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript,Go","熟练,熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","精通,掌握,了解,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
77,叶刚,男,39,13515720185,xiuyingzhao6263@gmail.com,算法工程师,本科,普通高校,计算机类,英语六级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,精通,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,14,7,0,通过
78,柏柳,女,21,18510293218,taoxue01@gmail.com,前端开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,掌握,掌握,了解,了解","HTML/CSS,React/Vue,Webpack","熟练,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
79,初红,女,22,15314181861,jingwu15@163.com,前端开发工程师,专科,普通高校,计算机类,英语四级,"Python,JavaScript,SQL,Go","掌握,熟练,掌握,精通","HTML/CSS,React/Vue,Webpack,Redux/Vuex","熟练,熟练,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,0,0,不通过
80,袁俊,男,31,18382778816,qiangqiao@outlook.com,运维工程师,专科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","熟练,精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","精通,熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,5,8,0,通过
81,王岩,男,23,18545628417,yangcheng225@hotmail.com,移动开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,熟练,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,熟练",NULL,NULL,NULL,NULL,NULL,13,0,0,通过
82,韩玉华,女,29,18923923126,naxu@163.com,数据分析师,专科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","熟练,精通,精通,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB","精通,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,7,2,0,通过
83,李欣,女,22,18098953439,xiuyingyin112@hotmail.com,数据分析师,本科,211高校,计算机类,英语四级,"Python,Java,SQL","掌握,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
84,郭超,男,21,15681230834,fangjia@hotmail.com,数据分析师,专科,普通高校,计算机类,英语四级,"Java,JavaScript,SQL,Go","精通,掌握,熟练,了解",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,掌握,了解",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
85,田坤,男,32,13621637618,lilin0@outlook.com,数据工程师,本科,普通高校,计算机类,无,"Python,SQL","掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","掌握,了解,熟练",NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark","掌握,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,15,7,0,不通过
86,马丽,女,21,15114519515,yanfu@gmail.com,运维工程师,专科,普通高校,计算机类,英语四级,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","了解,掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
87,周峰,男,21,17731350305,nazhong7210@163.com,算法工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","精通,熟练,精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
88,陈东,男,28,15698436241,leifeng6236@outlook.com,运维工程师,本科,普通高校,计算机类,英语六级,"Java,JavaScript","精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux","了解,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,3,7,0,通过
89,吴秀,女,40,18411332288,fangguo8572@163.com,测试工程师,专科,普通高校,计算机类,无,"Java,JavaScript,Go","掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,了解,熟练",5年以上,5年以上,3―5年,1,0,1,通过
90,赵宇,男,25,15762961367,chaofeng@163.com,测试工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,了解,精通,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","掌握,掌握,熟练,精通",NULL,1―3年,NULL,13,9,0,通过
91,杨玉英,女,38,15056778265,yongzhang6089@qq.com,前端开发工程师,本科,211高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","了解,熟练,熟练,掌握,熟练","HTML/CSS,React/Vue","掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,7,2,不通过
92,任宁,男,34,18012765289,xiulanluo8@126.com,后端开发工程师,本科,普通高校,非计算机类,英语六级,Java,掌握,NULL,NULL,"Spring Boot,Django/Flask","精通,精通","MySQL,MongoDB,Redis","熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,8,6,2,通过
93,王红霞,男,37,18138639609,minghuang262@126.com,云计算工程师,本科,普通高校,非计算机类,无,Python,精通,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","精通,掌握,熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,14,0,1,通过
94,陆瑞,男,22,18217061713,junjin657@yahoo.com,算法工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript,Go","掌握,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
95,段利,男,24,18051720849,juanbai498@163.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,SQL","精通,了解",NULL,NULL,"Spring Boot,Django/Flask,RESTful API","精通,掌握,掌握","MySQL,PostgreSQL","熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,1,7,0,通过
96,张飞,男,36,18045561857,minyin0647@126.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Java,JavaScript,Go","掌握,掌握,了解",NULL,NULL,"Spring Boot,Django/Flask","熟练,熟练",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,11,8,2,不通过
97,王涛,男,23,13617030376,weiyan7@gmail.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java","精通,精通",NULL,NULL,"Spring Boot,Django/Flask","精通,精通",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,14,0,0,通过
98,徐红霞,男,40,13331310094,guiyinglin1@outlook.com,前端开发工程师,本科,普通高校,非计算机类,英语四级,"Java,JavaScript,Go","掌握,掌握,精通","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,掌握,了解,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,9,9,0,通过
99,陈林,男,22,18077584745,qiangliang054@hotmail.com,测试工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","掌握,了解,熟练",1―3年,NULL,NULL,13,0,0,不通过
100,王飞,男,39,18403491074,jingzou@126.com,移动开发工程师,本科,211高校,非计算机类,英语六级,"Python,Go","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","熟练,掌握,精通",NULL,NULL,5年以上,3―5年,NULL,11,8,2,通过
101,蓝梅,女,22,18875857567,chaoyao670@outlook.com,测试工程师,本科,普通高校,计算机类,英语六级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,精通,熟练",NULL,NULL,NULL,0,0,0,通过
102,陈健,男,22,18793110291,xiashen1331@126.com,数据工程师,本科,普通高校,计算机类,英语四级,"Java,SQL,Go","熟练,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,熟练,熟练",NULL,NULL,Hadoop/Spark,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
103,康旭,男,22,15602588358,xiuyingzeng812@hotmail.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,JavaScript,SQL,Go","精通,熟练,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,掌握,掌握,熟练",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","精通,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
104,黄浩,男,23,13298334774,jiemeng3@hotmail.com,全栈开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,熟练,掌握,熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript","熟练,熟练,熟练,熟练","Spring Boot,Django/Flask","掌握,精通",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,通过
105,李健,男,30,13337199051,fangtang991@outlook.com,测试工程师,本科,211高校,计算机类,无,"Python,Java","精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","熟练,了解,熟练,了解",5年以上,NULL,3―5年,5,1,2,通过
106,刘伟,男,26,13111483753,leisun458@163.com,前端开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","精通,掌握,熟练,了解,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,熟练,熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,4,0,2,通过
107,谢宁,男,33,15626732044,chaopeng@qq.com,前端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,精通,熟练,掌握,熟练","HTML/CSS,React/Vue","熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,12,0,2,通过
108,张兰英,女,21,18008304405,yanxue0935@gmail.com,测试工程师,专科,普通高校,计算机类,无,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","掌握,了解,熟练,精通",NULL,NULL,NULL,0,0,0,不通过
109,姚燕,女,22,15735353751,pingbai7@hotmail.com,后端开发工程师,本科,普通高校,计算机类,英语六级,Java,熟练,NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","精通,掌握,了解,掌握,掌握",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
110,范龙,男,21,18599910157,mingwen764@yahoo.com,运维工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","精通,掌握,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux","精通,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
111,王俊,男,21,17883070534,gangwen6782@yahoo.com,移动开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","熟练,熟练,精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
112,李凯,男,27,17676958741,yangyao1@yahoo.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,Go","精通,熟练,熟练,掌握","HTML/CSS,React/Vue","熟练,熟练","Spring Boot,Django/Flask,RESTful API,Node.js","熟练,熟练,精通,掌握","MySQL,PostgreSQL,MongoDB,Redis","掌握,熟练,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,0,0,0,通过
113,李静,女,21,13399529800,minjia155@yahoo.com,全栈开发工程师,专科,普通高校,计算机类,英语六级,"Java,JavaScript","熟练,熟练","HTML/CSS,React/Vue,TypeScript","精通,精通,熟练","Spring Boot,Django/Flask,RESTful API","掌握,熟练,精通",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
114,李波,男,21,18164613684,minlai488@qq.com,全栈开发工程师,专科,普通高校,计算机类,英语四级,"Java,JavaScript,SQL","精通,精通,掌握","HTML/CSS,React/Vue,Redux/Vuex","熟练,精通,了解","Spring Boot,Django/Flask","熟练,熟练","MySQL,PostgreSQL,MongoDB,Redis","熟练,掌握,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
115,熊琴,女,37,18972866041,gangpan448@163.com,前端开发工程师,硕士及以上,211高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,了解,掌握","HTML/CSS,React/Vue,Redux/Vuex","精通,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,0,7,0,通过
116,孙金凤,女,21,15659648831,yanzhou2134@qq.com,前端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript,SQL,Go","掌握,熟练,熟练,精通","HTML/CSS,React/Vue,Webpack","熟练,精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
117,路坤,男,35,13337583094,lishao15@163.com,全栈开发工程师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,精通,掌握,熟练,了解","HTML/CSS,React/Vue,TypeScript","精通,熟练,精通","Spring Boot,Django/Flask","掌握,精通","MySQL,PostgreSQL,MongoDB,Redis","掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,4,4,1,通过
118,彭岩,男,22,18120448515,taohe919@126.com,全栈开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,Go","精通,精通,精通,精通","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,熟练,熟练,了解,掌握","Spring Boot,Django/Flask,Kafka/RabbitMQ","熟练,精通,了解",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,通过
119,杨璐,女,22,18354358841,xiajiang3437@163.com,测试工程师,本科,普通高校,计算机类,无,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","掌握,熟练,熟练,熟练",NULL,NULL,NULL,0,0,0,不通过
120,马瑞,男,21,18939225014,jiewei5@126.com,算法工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,掌握,掌握,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
121,郭飞,男,30,15046156262,jielong46@hotmail.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Python,JavaScript,SQL","掌握,掌握,熟练","HTML/CSS,React/Vue,Webpack,TypeScript","掌握,掌握,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,15,4,1,不通过
122,王丹丹,女,36,15756075409,liyi@163.com,测试工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,Go","熟练,掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","掌握,掌握,掌握,掌握",5年以上,NULL,NULL,6,1,0,不通过
123,钱想,男,22,17724809624,gangcao06@qq.com,数据分析师,本科,211高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,精通,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
124,叶平,男,22,17636826911,leiduan331@outlook.com,数据工程师,专科,普通高校,非计算机类,无,"Python,Java,SQL","掌握,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","掌握,熟练,熟练",NULL,NULL,Hadoop/Spark,熟练,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,7,0,0,不通过
125,黄强,男,36,13978195237,jielong@gmail.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","熟练,熟练,熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,掌握,精通,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,8,1,0,通过
126,吴秀云,女,23,17642229464,nayan0@yahoo.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,掌握,掌握,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,掌握,熟练,熟练,了解","MySQL,PostgreSQL,MongoDB,Redis","精通,熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,0,0,不通过
127,许峰,男,22,13884033399,guiyingliu718@yahoo.com,数据分析师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,熟练,熟练,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,掌握,精通,精通",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,2,0,0,通过
128,周俊,男,23,18034745245,qiangsu57@163.com,数据工程师,本科,211高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,了解,精通,熟练,了解",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,熟练,掌握,了解",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,不通过
129,王秀兰,女,22,13373598488,pingjiang02@yahoo.com,测试工程师,专科,普通高校,计算机类,无,"Python,Java,SQL,Go","掌握,熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","精通,了解,掌握,熟练",1―3年,NULL,NULL,3,0,0,不通过
130,丁秀珍,女,34,18294096003,jiegao62@163.com,全栈开发工程师,本科,普通高校,计算机类,英语六级,"Python,JavaScript,SQL","熟练,熟练,掌握","HTML/CSS,React/Vue,Webpack,TypeScript","掌握,熟练,掌握,熟练","Spring Boot,Django/Flask","精通,掌握","MySQL,MongoDB","掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,12,0,0,通过
131,曾博,男,38,15531857481,xiading006@yahoo.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","掌握,掌握,熟练,精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,掌握",NULL,NULL,3―5年,8,0,2,不通过
132,朱桂兰,女,23,17668729047,junpeng425@hotmail.com,测试工程师,本科,普通高校,非计算机类,英语四级,"Python,Java","熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,熟练,熟练",1―3年,NULL,NULL,7,0,0,通过
